"year","age","sex","q26","q27"
1991,NA,NA,2,2
1991,NA,NA,1,1
1991,4,NA,1,2
1991,5,NA,2,2
1991,6,NA,NA,NA
1991,NA,2,2,2
1991,NA,2,2,2
1991,1,2,2,2
1991,1,2,1,1
1991,1,2,1,NA
1991,1,2,1,1
1991,1,2,2,2
1991,1,2,NA,NA
1991,1,2,2,2
1991,1,2,1,1
1991,1,2,2,2
1991,1,2,1,NA
1991,2,2,2,2
1991,2,2,2,2
1991,2,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,NA
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,1
1991,3,2,1,1
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,1,1
1991,3,2,NA,NA
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,1,2
1991,3,2,2,2
1991,3,2,2,2
1991,3,2,2,2
