"sitename","year","q26","n"
"Alabama (AL)",1995,1,801
"Alabama (AL)",1997,1,717
"Alabama (AL)",1999,1,345
"Alabama (AL)",2001,1,265
"Alabama (AL)",2003,1,166
"Alabama (AL)",2005,1,207
"Alabama (AL)",2009,1,257
"Alabama (AL)",2011,1,227
"Alabama (AL)",2013,1,286
"Alabama (AL)",2015,1,266
"Alaska (AK)",1995,1,392
"Alaska (AK)",2003,1,247
"Alaska (AK)",2007,1,210
"Alaska (AK)",2009,1,197
"Alaska (AK)",2011,1,202
"Alaska (AK)",2013,1,196
"Alaska (AK)",2015,1,283
"Alaska (AK)",2017,1,307
"Arizona (AZB)",2003,1,723
"Arizona (AZB)",2005,1,737
"Arizona (AZB)",2007,1,532
"Arizona (AZB)",2009,1,463
"Arizona (AZB)",2011,1,577
"Arizona (AZB)",2013,1,294
"Arizona (AZB)",2015,1,474
"Arizona (AZB)",2017,1,390
"Arkansas (AR)",1995,1,561
"Arkansas (AR)",1997,1,447
"Arkansas (AR)",1999,1,265
"Arkansas (AR)",2001,1,342
"Arkansas (AR)",2005,1,328
"Arkansas (AR)",2007,1,294
"Arkansas (AR)",2009,1,328
"Arkansas (AR)",2011,1,207
"Arkansas (AR)",2013,1,288
"Arkansas (AR)",2015,1,553
"Arkansas (AR)",2017,1,368
"California (CA)",2015,1,336
"California (CA)",2017,1,306
"Colorado (CO)",2005,1,215
"Colorado (CO)",2009,1,217
"Colorado (CO)",2011,1,193
"Colorado (CO)",2017,1,257
"Delaware (DE)",1999,1,385
"Delaware (DE)",2001,1,476
"Delaware (DE)",2003,1,496
"Delaware (DE)",2005,1,353
"Delaware (DE)",2007,1,299
"Delaware (DE)",2009,1,316
"Delaware (DE)",2011,1,285
"Delaware (DE)",2013,1,338
"Delaware (DE)",2015,1,398
"Delaware (DE)",2017,1,440
"Florida (FL)",2001,1,656
"Florida (FL)",2003,1,679
"Florida (FL)",2005,1,686
"Florida (FL)",2007,1,510
"Florida (FL)",2009,1,653
"Florida (FL)",2011,1,763
"Florida (FL)",2013,1,850
"Florida (FL)",2015,1,894
"Florida (FL)",2017,1,882
"Hawaii (HI)",1993,1,448
"Hawaii (HI)",1995,1,311
"Hawaii (HI)",1997,1,379
"Hawaii (HI)",1999,1,291
"Hawaii (HI)",2005,1,341
"Hawaii (HI)",2007,1,215
"Hawaii (HI)",2009,1,294
"Hawaii (HI)",2011,1,725
"Hawaii (HI)",2013,1,824
"Hawaii (HI)",2015,1,982
"Hawaii (HI)",2017,1,1009
"Idaho (ID)",1991,1,1127
"Idaho (ID)",1993,1,1101
"Idaho (ID)",2001,1,310
"Idaho (ID)",2003,1,325
"Idaho (ID)",2005,1,245
"Idaho (ID)",2007,1,256
"Idaho (ID)",2009,1,318
"Idaho (ID)",2011,1,284
"Idaho (ID)",2013,1,306
"Idaho (ID)",2015,1,356
"Idaho (ID)",2017,1,390
"Illinois (IL)",1993,1,937
"Illinois (IL)",1995,1,703
"Illinois (IL)",2007,1,331
"Illinois (IL)",2009,1,437
"Illinois (IL)",2011,1,523
"Illinois (IL)",2013,1,587
"Illinois (IL)",2015,1,531
"Illinois (IL)",2017,1,875
